Subject,Book,Author,ISBN
18.703,"* A First Course in Abstract Algebra, 7th ed.","Fraleigh, John B.",9780201763904
18.726,Algebraic Geometry,"Hartshorne, Robin",9781441928078
18.747,"* Bombay Lectures on Highest Weight Representations of Infinite Dimensional Lie Algebras, 2nd ed.","Kac, Victor G.; Raina, A. K.;",9789814522199
18.757,* An Introduction to Lie Groups and Lie Algebras,"Kirillov Jr., Alexander A.",9780521889698
? ,"Lie Groups Beyond an Introduction, 2nd ed.","Knapp, Anthony W.",9780817642594
18.786,"Algebraic Number Theory, 2nd ed.",,9780950273426
18.821,Team Writing: A Guide to Working in Groups,"Wolfe, Joanna",9780312565824
18.901,"* Topology, 2nd ed.","Munkres, James R.",9780131816299
18.904,Topology and Groupoids,"Brown, Ronald",9781419627224
18.937,Introduction to the H-Principle,"Eliashberg, Y.; Mishachev, N",9780821832271
18.966,Introduction to Differential Topology,,9780521284707
